#,Coin,Price,24h,1h,7d,Market Cap,24h Volume,Timestamp
1,Bitcoin BTC,"$107,379",-2.57%,-1.48%,0.40%,$2.1 T,$29.1 bn,2025-05-28 19:38:23
2,Ethereum ETH,"$2,638",-1.07%,-1.15%,3.68%,$317.9 bn,$16.7 bn,2025-05-28 19:38:23
3,Tether USDT,$1.00,0.03%,0.09%,0.22%,$139.5 bn,$57.4 bn,2025-05-28 19:38:23
4,XRP XRP,$2.26,-3.32%,-2.12%,-4.10%,$130.5 bn,$1.7 bn,2025-05-28 19:38:23
5,Binance Coin BNB,$683.70,-1.01%,-0.58%,3.59%,$114 bn,$895.7 m,2025-05-28 19:38:23
6,Solana SOL,$170.32,-4.56%,-2.55%,0.35%,$82.9 bn,$3.1 bn,2025-05-28 19:38:23
7,USD Coin USDC,$1.00,0.00%,0.00%,0.00%,$52.2 bn,$6.2 bn,2025-05-28 19:38:23
8,Dogecoin DOGE,$0.2200,-3.90%,-1.82%,-4.02%,$32.9 bn,$1.1 bn,2025-05-28 19:38:23
9,Cardano ADA,$0.7456,-2.92%,-1.75%,-1.15%,$26.2 bn,$464.6 m,2025-05-28 19:38:23
10,Lido Staked Ether STETH,"$2,638",-0.96%,-1.08%,3.82%,$24.3 bn,$13.4 m,2025-05-28 19:38:23
1,Bitcoin BTC,"$107,379",-2.57%,-1.48%,0.40%,$2.1 T,$29.1 bn,2025-05-28 19:38:29
2,Ethereum ETH,"$2,638",-1.07%,-1.15%,3.68%,$317.9 bn,$16.7 bn,2025-05-28 19:38:29
3,Tether USDT,$1.00,0.03%,0.09%,0.22%,$139.5 bn,$57.4 bn,2025-05-28 19:38:29
4,XRP XRP,$2.26,-3.32%,-2.12%,-4.10%,$130.5 bn,$1.7 bn,2025-05-28 19:38:29
5,Binance Coin BNB,$683.70,-1.01%,-0.58%,3.59%,$114 bn,$895.7 m,2025-05-28 19:38:29
6,Solana SOL,$170.32,-4.56%,-2.55%,0.35%,$82.9 bn,$3.1 bn,2025-05-28 19:38:29
7,USD Coin USDC,$1.00,0.00%,0.00%,0.00%,$52.2 bn,$6.2 bn,2025-05-28 19:38:29
8,Dogecoin DOGE,$0.2200,-3.90%,-1.82%,-4.02%,$32.9 bn,$1.1 bn,2025-05-28 19:38:29
9,Cardano ADA,$0.7456,-2.92%,-1.75%,-1.15%,$26.2 bn,$464.6 m,2025-05-28 19:38:29
10,Lido Staked Ether STETH,"$2,638",-0.96%,-1.08%,3.82%,$24.3 bn,$13.4 m,2025-05-28 19:38:29
1,Bitcoin BTC,"$106,376",-1.07%,-1.21%,-4.52%,$2.1 T,$33.3 bn,2025-05-29 20:51:14
2,Ethereum ETH,"$2,652",0.07%,-0.37%,0.65%,$319.6 bn,$22.1 bn,2025-05-29 20:51:14
3,Tether USDT,$1.00,-0.10%,0.03%,0.08%,$139.3 bn,$65.7 bn,2025-05-29 20:51:14
4,XRP XRP,$2.27,1.38%,-0.68%,-5.75%,$131.1 bn,$2 bn,2025-05-29 20:51:14
5,Binance Coin BNB,$678.44,-0.98%,-0.83%,-0.67%,$113.2 bn,$974 m,2025-05-29 20:51:14
6,Solana SOL,$168.35,-1.34%,-1.51%,-4.84%,$81.9 bn,$2.9 bn,2025-05-29 20:51:14
7,USD Coin USDC,$1.00,0.00%,0.00%,-0.01%,$52.2 bn,$6.8 bn,2025-05-29 20:51:14
8,Dogecoin DOGE,$0.2188,-0.19%,-1.24%,-8.89%,$32.7 bn,$1.2 bn,2025-05-29 20:51:14
9,Cardano ADA,$0.7340,-1.51%,-1.27%,-7.01%,$25.8 bn,$538.6 m,2025-05-29 20:51:14
10,Lido Staked Ether STETH,"$2,649",0.05%,-0.52%,0.79%,$24.4 bn,$24.3 m,2025-05-29 20:51:14
1,Bitcoin BTC,"$105,271",-1.64%,-0.19%,-5.09%,$2.1 T,$35.9 bn,2025-05-30 19:26:18
2,Ethereum ETH,"$2,594",-2.19%,-0.35%,-4.24%,$312.5 bn,$18.6 bn,2025-05-30 19:26:18
3,Tether USDT,$1.00,0.22%,0.18%,0.56%,$139.6 bn,$73.3 bn,2025-05-30 19:26:18
4,XRP XRP,$2.18,-4.36%,-0.58%,-11.25%,$125.6 bn,$2.8 bn,2025-05-30 19:26:18
5,Binance Coin BNB,$667.41,-1.89%,-0.33%,-2.83%,$111.3 bn,$1 bn,2025-05-30 19:26:18
6,Solana SOL,$160.62,-5.37%,-1.21%,-12.59%,$78.2 bn,$3.6 bn,2025-05-30 19:26:18
7,USD Coin USDC,$1.00,0.00%,0.01%,-0.02%,$52.2 bn,$7.8 bn,2025-05-30 19:26:18
8,Dogecoin DOGE,$0.2012,-8.50%,-1.13%,-18.77%,$30 bn,$1.9 bn,2025-05-30 19:26:18
9,Cardano ADA,$0.7007,-4.98%,-0.49%,-14.92%,$24.7 bn,$751.2 m,2025-05-30 19:26:18
10,Lido Staked Ether STETH,"$2,589",-2.21%,-0.43%,-4.40%,$23.9 bn,$25 m,2025-05-30 19:26:18
1,Bitcoin BTC,"$105,143",-1.67%,-0.26%,-5.11%,$2.1 T,$35.9 bn,2025-05-30 19:32:41
2,Ethereum ETH,"$2,587",-2.32%,-0.22%,-4.38%,$311.7 bn,$18.6 bn,2025-05-30 19:32:41
3,Tether USDT,$1.00,0.21%,0.22%,0.48%,$139.7 bn,$73.2 bn,2025-05-30 19:32:41
4,XRP XRP,$2.17,-4.67%,-0.77%,-11.36%,$125.2 bn,$2.8 bn,2025-05-30 19:32:41
5,Binance Coin BNB,$666.55,-1.96%,-0.38%,-2.89%,$111.2 bn,$1 bn,2025-05-30 19:32:41
6,Solana SOL,$160.04,-5.58%,-1.29%,-12.66%,$77.9 bn,$3.6 bn,2025-05-30 19:32:41
7,USD Coin USDC,$1.00,0.01%,0.01%,-0.02%,$52.2 bn,$7.8 bn,2025-05-30 19:32:41
8,Dogecoin DOGE,$0.2002,-8.77%,-1.42%,-18.91%,$29.9 bn,$1.9 bn,2025-05-30 19:32:41
9,Cardano ADA,$0.6980,-5.31%,-0.68%,-15.02%,$24.6 bn,$749.1 m,2025-05-30 19:32:41
10,Lido Staked Ether STETH,"$2,581",-2.40%,-0.52%,-4.59%,$23.8 bn,$24.9 m,2025-05-30 19:32:41
1,Bitcoin BTC,"$105,143",-1.67%,-0.26%,-5.11%,$2.1 T,$35.9 bn,2025-05-30 19:33:00
